Student ID	Age	Gender	Department	Year of Study	Social Media Platform	Post Date	Content	Likes	Comments	Shares
100013	19	Female	Economics	1	Twitter	27/09/2023	"""Sun-kissed and feeling blessed."""	20	3	
100004	21	Male	History	4	Instagram	26/09/2023	"""Exploring new cafes in the city."""	40	8	3
100015	23	Female	English Literature	3	Facebook	24/09/2023	"""New fit, who dis?"""	25	4	2
100016	20	Male	Mechanical Engineering	2	Twitter	28/09/2023		20	3	
100017	22	Female	Finance	3	Instagram	28/09/2023	"""My latest creation."""	60	12	4
100008	21	Male	Political Science	4	Facebook	20/09/2023	"""Just doodling around."""	30	5	2
100033	20	Female	Mathematics	3	Twitter	22/09/2023	"""A little something I made."""	45	7	3
100020	20	Male	Computer Science	3	Instagram	25/09/2023	"""Sharing my passion."""	50	10	2
100029	22	Female	Psychology	2	Facebook	23/09/2023	"""Leveling up!"""	30	5	1
100030	19	Female	Economics	1	Twitter	27/09/2023	"""Add me on [gaming platform]."""	20	3	
100031	21	Male	History	4	Instagram	26/09/2023	"""Gaming with friends."""	40	8	3
100032	23	Female	English Literature	3	Facebook	24/09/2023	"""New high score!"""	25	4	2
